iter	Passed	Remaining
0	3	313
1	6	306
2	9	313
3	12	299
4	15	291
5	18	283
6	21	281
7	24	276
8	27	276
9	30	270
10	32	265
11	35	261
12	38	257
13	41	253
14	43	248
15	46	244
16	49	241
17	52	237
18	53	228
19	54	216
20	54	205
21	55	195
22	55	186
23	56	178
24	56	170
25	57	163
26	57	156
27	58	150
28	59	144
29	59	139
30	60	133
31	60	128
32	61	124
33	61	119
34	62	115
35	62	111
36	63	107
37	63	104
38	64	100
39	65	97
40	65	94
41	65	90
42	66	87
43	66	85
44	67	82
45	67	79
46	68	77
47	68	74
48	69	72
49	70	70
50	70	67
51	71	65
52	71	63
53	72	61
54	72	59
55	73	57
56	73	55
57	74	53
58	74	51
59	75	50
60	75	48
61	76	46
62	76	45
63	77	43
64	77	41
65	78	40
66	78	38
67	79	37
68	80	35
69	80	34
70	81	33
71	81	31
72	82	30
73	82	29
74	83	27
75	83	26
76	84	25
77	84	23
78	85	22
79	85	21
80	86	20
81	86	19
82	87	17
83	87	16
84	88	15
85	89	14
86	89	13
87	90	12
88	90	11
89	91	10
90	91	9
91	92	8
92	92	6
93	93	5
94	93	4
95	94	3
96	94	2
97	95	1
98	96	0
99	96	0
