iter	Passed	Remaining
0	139	138929
1	140	70192
2	142	47270
3	143	35834
4	147	29283
5	149	24772
6	150	21410
7	152	18898
8	153	16943
9	155	15387
10	156	14110
11	159	13102
12	162	12304
13	163	11527
14	165	10864
15	168	10343
16	169	9815
17	171	9336
18	172	8909
19	174	8532
20	175	8192
21	177	7880
22	178	7592
23	181	7367
24	182	7127
25	184	6902
26	185	6689
27	187	6499
28	188	6321
29	190	6152
30	191	5988
31	193	5840
32	195	5723
33	196	5588
34	198	5466
35	199	5351
36	201	5238
37	203	5139
38	204	5042
39	206	4945
40	207	4854
41	209	4774
42	210	4692
43	212	4613
44	213	4538
45	215	4476
46	217	4408
47	218	4339
48	220	4276
49	221	4216
50	223	4158
51	225	4102
52	226	4048
53	228	3996
54	230	3953
55	231	3907
56	233	3861
57	234	3814
58	236	3769
59	237	3728
60	239	3685
61	240	3643
62	242	3602
63	243	3565
64	245	3536
65	247	3500
66	248	3465
67	250	3430
68	251	3394
69	252	3357
70	254	3323
71	255	3292
72	256	3262
73	258	3232
74	260	3210
75	262	3186
76	263	3159
77	265	3132
78	266	3106
79	267	3081
80	268	3049
81	270	3023
82	271	2998
83	272	2975
84	274	2956
85	276	2933
86	277	2911
87	279	2891
88	280	2870
89	281	2849
90	283	2830
91	284	2811
92	286	2790
93	287	2774
94	289	2755
95	290	2739
96	292	2722
97	294	2706
98	295	2688
99	296	2672
100	298	2656
101	299	2635
102	300	2620
103	302	2605
104	304	2593
105	305	2579
106	307	2564
107	308	2550
108	310	2535
109	311	2520
110	312	2504
111	314	2490
112	315	2479
113	317	2466
114	319	2457
115	321	2446
116	322	2432
117	323	2417
118	324	2403
119	325	2390
120	327	2375
121	328	2362
122	329	2348
123	330	2333
124	331	2318
125	332	2304
126	333	2291
127	334	2278
128	335	2264
129	336	2251
130	337	2237
131	338	2223
132	338	2208
133	339	2194
134	340	2180
135	341	2166
136	341	2152
137	342	2139
138	343	2125
139	343	2112
140	344	2099
141	345	2086
142	345	2072
143	346	2061
144	347	2050
145	348	2038
146	349	2025
147	349	2013
148	350	2001
149	350	1988
150	351	1975
151	351	1963
152	352	1951
153	353	1940
154	353	1928
155	354	1917
156	354	1906
157	355	1894
158	356	1883
159	356	1872
160	357	1861
161	357	1850
162	358	1839
163	358	1828
164	359	1818
165	359	1808
166	360	1798
167	361	1788
168	362	1780
169	362	1771
170	363	1762
171	364	1753
172	364	1744
173	365	1735
174	366	1726
175	366	1717
176	367	1708
177	367	1699
178	368	1690
179	369	1682
180	369	1673
181	370	1665
182	370	1655
183	371	1647
184	372	1639
185	372	1630
186	373	1622
187	373	1614
188	374	1606
189	374	1598
190	375	1591
191	376	1585
192	377	1578
193	377	1570
194	378	1562
195	379	1554
196	379	1547
197	380	1539
